Algorithm,Movement,Feasibility Strategy,File name,Timestamp,Processing Time (h:m:s.ms),Packages,Dependencies,Bag Weight,Bag Benefit
GRASP_VNS,SWAP_REMOVE_2_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:02:34:29527,39,69,12012,12725
GRASP_VNS,ADD,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:02:34:12200,40,69,12006,12485
GRASP_VNS,SWAP_REMOVE_1_ADD_2,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:02:33:12880,41,69,11995,12396
VNS,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:00:00:01473,40,69,11898,12361
GRASP_VNS,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:02:10:11627,37,67,12005,12303
GRASP_VNS,SWAP_REMOVE_1_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:02:30:85041,38,67,12014,12264
GRASP,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:00:06:09710,35,68,11994,11819
GREEDY_PACKAGE-BENEFIT_RATIO,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:00:00:00021,33,67,12013,11350
VND,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:00:04:43822,33,67,12013,11350
GREEDY_PACKAGE-BENEFIT_RATIO,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:00:00:00022,36,68,11982,10822
GRASP,SWAP_REMOVE_1_ADD_1,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:00:08:13133,27,67,11946,10727
GRASP,SWAP_REMOVE_2_ADD_1,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:00:01:88478,26,66,11188,9704
GRASP,SWAP_REMOVE_1_ADD_2,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:00:45:63831,24,67,11926,9685
GRASP,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:00:27:60030,25,62,10807,9186
GREEDY_PACKAGE-BENEFIT,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:00:00:00026,24,67,11992,8956
GREEDY_PACKAGE-BENEFIT,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:00:00:00021,23,66,12001,8881
RANDOM_GREEDY_PACKAGE-SIZE,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:00:00:00021,33,67,11989,8291
GREEDY_PACKAGE-SIZE,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:00:00:00024,30,66,12008,7592
RANDOM,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-24-34 | execution: 1,00:00:00:00031,29,67,12000,7157
