Algoritmo,File name,Timestamp,Tempo de Processamento (s),Pacotes,Depenências,Peso da mochila,Benefício mochila
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:27:15,0.00069,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:27:28,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:27:39,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:27:46,0.00061,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:28:04,0.00065,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:28:12,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:28:23,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:28:31,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:28:39,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:28:45,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:28:50,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:28:54,0.00064,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:29:00,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:29:05,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:29:09,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:29:16,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:31:34,0.00084,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:31:43,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:31:50,0.00061,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:32:25,0.00061,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:32:29,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:32:33,0.00061,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:32:37,0.00065,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:32:40,0.00064,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:32:44,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:32:48,0.00061,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:32:53,0.00066,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:32:58,0.00061,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 01:33:03,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 10:04:24,0.00154,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 10:05:06,0.00135,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 10:05:20,0.00141,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 10:06:04,0.00116,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 10:06:08,0.00136,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 10:06:14,0.00136,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 10:06:18,0.00195,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 10:06:24,0.00134,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 10:06:33,0.00168,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 10:06:40,0.00101,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 10:06:46,0.00164,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-09-21 10:06:53,0.00117,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 15:46:42,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 15:46:48,0.00092,25,77,12105,9515
VND,instância_original.knapsack.txt,2025-10-02 15:46:48,0.42382,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 15:46:52,0.00062,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 15:57:05,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 15:57:23,0.00058,25,77,12105,9515
VND,instância_original.knapsack.txt,2025-10-02 15:57:23,0.19175,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 15:57:42,0.00070,25,77,12105,9515
VND,instância_original.knapsack.txt,2025-10-02 15:57:42,0.19488,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 15:58:40,0.00059,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 15:59:00,0.00059,25,77,12105,9515
