Algorithm,Movement,Feasibility Strategy,File name,Timestamp,Processing Time (h:m:s.ms),Packages,Dependencies,Bag Weight,Bag Benefit,Seed,
RANDOM,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:00:00033,29,66,12005,7487,75,
GREEDY_PACKAGE-BENEFIT,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:00:00027,23,66,12001,8881,75,
GREEDY_PACKAGE-BENEFIT_RATIO,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:00:00028,33,67,12013,11350,75,
GREEDY_PACKAGE-SIZE,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:00:00027,30,66,12008,7592,75,
GREEDY_PACKAGE-BENEFIT,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:00:00028,30,66,11988,10084,75,
GREEDY_PACKAGE-BENEFIT_RATIO,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:00:00028,34,69,11960,10741,75,
RANDOM_GREEDY_PACKAGE-SIZE,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:00:00028,29,66,11968,7156,75,
VND,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:03:01090,41,68,12003,12763,75,
VNS,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:00:00781,41,68,12003,12763,75,
GRASP,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:00:02256,28,65,12011,6867,75,
GRASP_VNS,ADD,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:02:71138,33,68,12003,8630,75,
GRASP,SWAP_REMOVE_1_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:00:02871,28,65,12011,6867,75,
GRASP_VNS,SWAP_REMOVE_1_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:02:80958,31,67,11990,9249,75,
GRASP,SWAP_REMOVE_1_ADD_2,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:00:03145,28,65,12011,6867,75,
GRASP_VNS,SWAP_REMOVE_1_ADD_2,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:02:76092,33,68,12003,8630,75,
GRASP,SWAP_REMOVE_2_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:00:03216,28,65,12011,6867,75,
GRASP_VNS,SWAP_REMOVE_2_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:02:67493,37,68,11993,10076,75,
GRASP,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:00:03024,28,65,12011,6867,75,
GRASP_VNS,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-37-53,2025-10-26_12-37-53 | execution: 1,00:00:03:00465,34,69,11978,8822,75,
