Algoritmo," Movement",File name,Timestamp,Tempo de Processamento (s),Pacotes,Depenências,Peso da mochila,Benefício mochila
GRASP,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-17 00:03:22,30.00044,34,82,12133,11922
VND,SWAP_REMOVE_1_ADD_1,instancia_original.knapsack.txt,2025-10-17 00:03:22,11.94570,28,78,12093,10475
RANDOM_GREEDY (Package: Benefit),EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-17 00:03:22,0.00034,26,78,12150,10097
VNS,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-17 00:03:22,6.13547,26,78,12150,10097
RANDOM_GREEDY (Package: Benefit Ratio),EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-17 00:03:22,0.00034,27,80,12110,9952
GREEDY -> Package: Benefit Ratio,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-17 00:03:22,0.00036,28,79,12085,9868
GREEDY -> Package: Benefit,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-17 00:03:22,0.00030,25,77,12105,9515
GREEDY -> Package: Size,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-17 00:03:22,0.00038,29,81,12171,8668
RANDOM_GREEDY (Package: Size),EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-17 00:03:22,0.00035,22,77,12171,7256
RANDOM,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-17 00:03:22,0.00044,19,76,12141,5186
