Algorithm,Movement,Feasibility Strategy,File name,Timestamp,Processing Time (h:m:s.ms),Packages,Dependencies,Bag Weight,Bag Benefit
RANDOM,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:00:00:00039,31,67,12006,8094
GREEDY_PACKAGE-BENEFIT,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:00:00:00021,23,66,12001,8881
GREEDY_PACKAGE-BENEFIT_RATIO,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:00:00:00022,33,67,12013,11350
GREEDY_PACKAGE-SIZE,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:00:00:00021,30,66,12008,7592
GREEDY_PACKAGE-BENEFIT,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:00:00:00022,24,64,12014,8339
GREEDY_PACKAGE-BENEFIT_RATIO,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:00:00:00023,26,66,12006,9182
RANDOM_GREEDY_PACKAGE-SIZE,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:00:00:00021,29,66,12001,7819
VNS,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:00:00:01413,36,67,12004,11740
VND,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:00:06:44843,33,67,12013,11350
GRASP,SWAP_REMOVE_2_ADD_1,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:00:02:92872,26,66,11188,9704
GRASP,ADD,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:00:07:38031,39,69,11971,12333
GRASP,SWAP_REMOVE_1_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:00:08:60860,24,68,11980,10222
GRASP,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:00:31:83404,22,59,10168,8637
GRASP,SWAP_REMOVE_1_ADD_2,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:00:48:90627,30,69,11946,11050
GRASP_VNS,SWAP_REMOVE_1_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:02:25:37433,37,69,11976,12565
GRASP_VNS,SWAP_REMOVE_2_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:02:26:35356,40,68,11993,12238
GRASP_VNS,SWAP_REMOVE_1_ADD_2,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:02:27:02354,39,68,11983,12501
GRASP_VNS,ADD,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:02:27:93843,39,69,11971,12333
GRASP_VNS,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 1,00:02:30:02588,38,68,12009,12571
RANDOM,SWAP_REMOVE_1_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:00:00:00049,27,66,12002,5981
GREEDY_PACKAGE-BENEFIT,ADD,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:00:00:00044,23,66,12001,8881
GREEDY_PACKAGE-BENEFIT_RATIO,ADD,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:00:00:00035,33,67,12013,11350
GREEDY_PACKAGE-SIZE,ADD,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:00:00:00040,30,66,12008,7592
GREEDY_PACKAGE-BENEFIT,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:00:00:00046,22,64,11984,7770
GREEDY_PACKAGE-BENEFIT_RATIO,ADD,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:00:00:00056,34,69,11977,10770
RANDOM_GREEDY_PACKAGE-SIZE,SWAP_REMOVE_2_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:00:00:00043,30,66,12010,7621
VNS,ADD,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:00:00:02035,40,69,12008,12596
VND,ADD,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:00:07:03967,33,67,12013,11350
