Algorithm,Movement,Feasibility Strategy,File name,Timestamp,Processing Time (h:m:s.ms),Packages,Dependencies,Bag Weight,Bag Benefit
GRASP,SWAP_REMOVE_2_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:00:02:97453,26,63,11130,9593
GRASP,ADD,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:00:07:22634,36,69,11976,12116
GRASP,SWAP_REMOVE_1_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:00:09:65192,26,69,12294,10794
GRASP,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:00:26:58304,28,66,11335,10039
GRASP,SWAP_REMOVE_1_ADD_2,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:00:46:83667,27,68,11986,10313
GRASP_VNS,SWAP_REMOVE_2_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:01:55:80639,38,69,11991,12535
GRASP_VNS,SWAP_REMOVE_1_ADD_2,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:02:28:22932,38,68,12010,12232
GRASP_VNS,SWAP_REMOVE_1_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:02:29:35928,40,70,12012,12563
GRASP_VNS,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:02:30:03349,40,70,11993,12480
GRASP_VNS,ADD,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 2,00:02:32:13348,37,67,12011,12613
RANDOM,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 3,00:00:00:00037,26,65,11983,7103
GREEDY_PACKAGE-BENEFIT,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 3,00:00:00:00029,23,66,12001,8881
GREEDY_PACKAGE-BENEFIT_RATIO,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 3,00:00:00:00032,33,67,12013,11350
GREEDY_PACKAGE-SIZE,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 3,00:00:00:00029,30,66,12008,7592
GREEDY_PACKAGE-BENEFIT,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 3,00:00:00:00027,16,61,11988,6135
GREEDY_PACKAGE-BENEFIT_RATIO,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 3,00:00:00:00028,25,65,12002,8936
RANDOM_GREEDY_PACKAGE-SIZE,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 3,00:00:00:00030,33,67,11998,8969
VNS,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 3,00:00:00:00690,33,67,12013,11350
VND,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 3,00:00:07:45094,33,67,12013,11350
GRASP,SWAP_REMOVE_2_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 3,00:00:02:86281,27,67,11411,9522
GRASP,ADD,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 3,00:00:06:89708,36,69,11967,12194
GRASP,SWAP_REMOVE_1_ADD_1,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 3,00:00:08:88854,23,66,12009,9982
GRASP,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 3,00:00:29:72746,26,66,11305,9626
GRASP,SWAP_REMOVE_1_ADD_2,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_16-44-28 | execution: 3,00:00:47:66082,26,68,12013,10158
