Algoritmo,Movement,File name,Timestamp,Tempo de Processamento (s),Pacotes,Depenências,Peso da mochila,Benefício mochila
GREEDY -> Package: Benefit Ratio,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00362,21,239,38874,9642
GREEDY -> Package: Benefit,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00353,15,233,38832,7704
GREEDY -> Package: Size,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00376,19,233,38858,4794
RANDOM_GREEDY (Package: Benefit),EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00385,14,230,38739,7144
RANDOM_GREEDY (Package: Benefit Ratio),EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00378,20,235,38889,9073
RANDOM_GREEDY (Package: Size),EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00386,19,232,38824,4425
VND,ADD,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,42.61085,23,241,38884,10379
VNS,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,35.12884,21,239,38874,9642
GRASP,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,89.03876,28,245,38887,11538
RANDOM,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00295,13,224,38906,3861
GREEDY -> Package: Benefit Ratio,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00344,21,239,38874,9642
GREEDY -> Package: Benefit,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00349,15,233,38832,7704
GREEDY -> Package: Size,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00231,19,233,38858,4794
RANDOM_GREEDY (Package: Benefit),EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00241,16,236,38872,8129
RANDOM_GREEDY (Package: Benefit Ratio),EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00224,17,238,38917,8158
RANDOM_GREEDY (Package: Size),EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00227,19,229,38909,4825
VND,ADD,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,42.09773,23,241,38884,10379
VNS,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,39.37552,21,239,38874,9642
GRASP,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,89.05264,28,245,38887,11538
