Algoritmo,Movement,File name,Timestamp,Tempo de Processamento (s),Pacotes,Depenências,Peso da mochila,Benefício mochila
RANDOM,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00511,12,426,71586,2642
GREEDY -> Package: Benefit Ratio,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00503,16,432,71507,7594
GREEDY -> Package: Benefit,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00501,11,417,71344,5618
GREEDY -> Package: Size,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00487,16,430,71416,3182
RANDOM_GREEDY (Package: Benefit),EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00528,10,420,71413,5098
RANDOM_GREEDY (Package: Benefit Ratio),EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00517,14,432,71589,6621
RANDOM_GREEDY (Package: Size),EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00509,16,432,71615,3396
VND,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,89.06579,16,432,71507,7594
VNS,ADD,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,89.16792,18,433,71584,8364
GRASP,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,89.15823,22,446,71587,9600
RANDOM,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00937,11,413,71601,2856
GREEDY -> Package: Benefit Ratio,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00727,16,432,71507,7594
GREEDY -> Package: Benefit,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00646,11,417,71344,5618
GREEDY -> Package: Size,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00652,16,430,71416,3182
RANDOM_GREEDY (Package: Benefit),EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00633,13,428,71453,6502
RANDOM_GREEDY (Package: Benefit Ratio),EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00641,16,429,71646,7410
RANDOM_GREEDY (Package: Size),EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00632,16,428,71355,4553
VND,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,68.74609,16,432,71507,7594
VNS,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,66.12170,16,432,71507,7594
GRASP,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,89.12315,21,443,71590,9370
RANDOM,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00688,11,421,71498,2929
GREEDY -> Package: Benefit Ratio,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00666,16,432,71507,7594
GREEDY -> Package: Benefit,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00643,11,417,71344,5618
GREEDY -> Package: Size,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00653,16,430,71416,3182
RANDOM_GREEDY (Package: Benefit),EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00635,12,429,71615,6014
RANDOM_GREEDY (Package: Benefit Ratio),EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00648,14,428,71224,6749
RANDOM_GREEDY (Package: Size),EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,0.00647,17,432,71465,4044
VND,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,68.47675,16,432,71507,7594
VNS,ADD,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,67.46369,17,435,71621,8077
GRASP,EJECTION_CHAIN,sukp28_485_500_0.15_0.85.knapsack.txt,2025-10-17 12:33:12,89.17199,21,446,71545,9571
